Time [ms], Thumb, Index, Middle, Ring, Little, force
304.032511, 1706, 1815, 2968, 2063, 2920, 0.338863, 
304.568215, 1706, 1815, 2968, 2063, 2920, 0.338863, 
305.157161, 1706, 1815, 2968, 2063, 2920, 0.338863, 
305.761059, 1706, 1815, 2968, 2063, 2920, 0.340153, 
307.228865, 1706, 1815, 2968, 2063, 2920, 0.338863, 
308.100068, 1706, 1815, 2968, 2063, 2920, 0.341442, 
308.663851, 1706, 1815, 2968, 2063, 2920, 0.342732, 
309.208307, 1706, 1815, 2968, 2063, 2920, 0.349180, 
309.734894, 1706, 1815, 2968, 2063, 2920, 0.340153, 
310.273151, 1706, 1815, 2968, 2063, 2920, 0.345311, 
311.181185, 1706, 1815, 2968, 2063, 2920, 0.344021, 
311.978359, 1706, 1815, 2968, 2062, 2920, 0.342732, 
312.871806, 1706, 1815, 2968, 2062, 2920, 0.345311, 
313.516912, 1706, 1815, 2968, 2062, 2920, 0.341442, 
314.052616, 1706, 1815, 2968, 2062, 2920, 0.345311, 
314.603271, 1706, 1815, 2968, 2062, 2920, 0.338863, 
315.176171, 1706, 1815, 2968, 2062, 2920, 0.342732, 
316.663670, 1706, 1815, 2968, 2062, 2920, 0.342732, 
317.469961, 1706, 1815, 2968, 2062, 2920, 0.342732, 
317.956434, 1706, 1815, 2968, 2062, 2920, 0.340153, 
318.514018, 1706, 1815, 2968, 2062, 2920, 0.337574, 
319.073426, 1706, 1815, 2968, 2062, 2920, 0.340153, 
319.708320, 1706, 1815, 2968, 2062, 2920, 0.336284, 
320.334828, 1706, 1815, 2968, 2062, 2920, 0.340153, 
320.937631, 1706, 1815, 2968, 2062, 2920, 0.336284, 
321.461301, 1706, 1815, 2968, 2062, 2920, 0.337574, 
321.983876, 1706, 1815, 2968, 2062, 2920, 0.334994, 
322.529062, 1706, 1815, 2968, 2062, 2920, 0.333705, 
323.063307, 1706, 1815, 2968, 2062, 2920, 0.334994, 
323.575672, 1706, 1815, 2968, 2062, 2920, 0.329836, 
324.098976, 1706, 1815, 2968, 2062, 2920, 0.332415, 
324.622646, 1706, 1815, 2968, 2062, 2920, 0.328547, 
326.134578, 1706, 1815, 2968, 2062, 2920, 0.327257, 
326.689609, 1706, 1815, 2968, 2062, 2920, 0.325967, 
327.552789, 1706, 1815, 2968, 2062, 2920, 0.324678, 
328.385701, 1706, 1816, 2968, 2062, 2920, 0.324678, 
329.470601, 1706, 1816, 2968, 2062, 2920, 0.324678, 
330.214898, 1706, 1816, 2968, 2062, 2920, 0.318230, 
330.961747, 1706, 1816, 2968, 2062, 2920, 0.318230, 
331.637485, 1706, 1816, 2968, 2062, 2920, 0.319520, 
332.285873, 1706, 1816, 2968, 2062, 2920, 0.314361, 
333.008289, 1706, 1816, 2968, 2062, 2920, 0.316941, 
333.714294, 1706, 1816, 2968, 2062, 2920, 0.314361, 
334.435981, 1706, 1816, 2968, 2062, 2920, 0.314361, 
336.179115, 1706, 1816, 2968, 2062, 2920, 0.307914, 
